Drug_Name,Reason,Description,Company_Name,NSE_Symbol,Rating
Thyrobest 50mcg Tablet 10'SThyrobest 100mcg Tablet 10'SThyrobest 25Mcg Tablet 10'S,Hypothyroidism,tablets are used to replace the thyroxine that your thyroid gland cannot produce and prevent the symptoms of hypothyroidism,Cipla Ltd.,CIPLA,C
Thyrocare 50mcg Tablet 100'SThyrocare 100mcg Tablet 100'S,Hypothyroidism,"hyroid gland which controls how much energy your body uses. When the thyroid gland does not produce enough thyroxine (a condition known as hypothyroidism), many of the body’s functions slow down",Biocon Ltd.,BIOCON,B
Thyrochek 50mg Tablet 60'SThyrochek 100mg Tablet 10'SThyrochek 25mg Tablet 60'S,Hypothyroidism,tablets are used to replace the thyroxine that your thyroid gland cannot produce and prevent the symptoms of hypothyroidism,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Thyrofit 150mcg Tablet 30'SThyrofit 75Mcg Tablet 30'SThyrofit 50mcg Tablet 30'SThyrofit 125Mcg Tablet 30'SThyrofit 25Mcg Tablet 30'SThyrofit 100mcg Tablet 30'S,Hypothyroidism,"hyroid gland which controls how much energy your body uses. When the thyroid gland does not produce enough thyroxine (a condition known as hypothyroidism), many of the body’s functions slow down",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Thyromed 25Mcg Tablet 100'SThyromed 50mcg Tablet 100'SThyromed 100mcg Tablet 100'SThyromed 75Mcg Tablet 100'S,Hypothyroidism,tablets are used to replace the thyroxine that your thyroid gland cannot produce and prevent the symptoms of hypothyroidism,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
THYRONI 100mcg Tablet 100's,Hypothyroidism,"hyroid gland which controls how much energy your body uses. When the thyroid gland does not produce enough thyroxine (a condition known as hypothyroidism), many of the body’s functions slow down",Dr. Reddys Laboratories Ltd.,DRREDDY,R
Thyronil 75Mcg Tablet 10'SThyronil 12.5Mcg Tablet 100'SThyronil 150mcg Tablet 100'S,Hypothyroidism,tablets are used to replace the thyroxine that your thyroid gland cannot produce and prevent the symptoms of hypothyroidism,Divis Laboratories Ltd.,DIVISLAB,D
THYRONORM 25mcg Tablet 100'SThyronorm 25Mcg Tablet 30'SThyronorm 88Mcg Tablet 120'SThyronorm 12.5Mcg Tablet 100'STHYRONORM 12.5mcg Tablet 50'SThyronorm 12.5Mcg Tablet 120'SThyronorm 137Mcg Tablet 100'STHYRONORM 125mcg Tablet 100'SThyronorm 100mcg Tablet 120'SThyronorm 112Mcg Tablet 50'SThyronorm 112Mcg Tablet 120'SThyronorm 50mcg Tablet 100'SThyronorm 50mcg Tablet 30'SThyronorm 125Mcg Tablet 120'SThyronorm 62.5Mcg Tablet 100'SThyronorm 25Mcg Tablet 120'SThyronorm 100mcg Tablet 100'SThyronorm 150mcg Tablet 100'STHYRONORM 37.5mcg Tablet 100'sThyronorm 137Mcg Tablet 120'SThyronorm 50mcg Tablet 120'SThyronorm 100mcg Tablet 30'STHYRONORM 88mcg Tablet 100'STHYRONORM 75mcg Tablet 100'SThyronorm 137Mcg Tablet 50'SThyronorm 75Mcg Tablet 30'SThyronorm 62.5Mcg Tablet 120'SThyronorm 112Mcg Tablet 100'SThyronorm 175Mcg Tablet 100'SThyronorm 75Mcg Tablet 120'SThyronorm 62.5Mcg Tablet 50'S,Hypothyroidism,"hyroid gland which controls how much energy your body uses. When the thyroid gland does not produce enough thyroxine (a condition known as hypothyroidism), many of the body’s functions slow down",Cipla Ltd.,CIPLA,C
Thyropil 50mcg Tablet 30'SThyropil 25Mcg Tablet 30'SThyropil 100mcg Tablet 10'SThyropil 75Mcg Tablet 30'SThyropil 50mcg Tablet 10'S,Hypothyroidism,tablets are used to replace the thyroxine that your thyroid gland cannot produce and prevent the symptoms of hypothyroidism,Biocon Ltd.,BIOCON,B
Thyrorid 50Mcg Tablet 100's,Hypothyroidism,"hyroid gland which controls how much energy your body uses. When the thyroid gland does not produce enough thyroxine (a condition known as hypothyroidism), many of the body’s functions slow down",Aurobindo Pharma Ltd.,AUROPHARMA,AU
Thyrosurz 50mcg Tablet 100'S,Hypothyroidism,tablets are used to replace the thyroxine that your thyroid gland cannot produce and prevent the symptoms of hypothyroidism,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
THYROTOP 25mcg Tablet 30'SThyrotop 50mcg Tablet 30'S,Hypothyroidism,"hyroid gland which controls how much energy your body uses. When the thyroid gland does not produce enough thyroxine (a condition known as hypothyroidism), many of the body’s functions slow down",Lupin Ltd.,LUPIN,L
Thyrotop 100mcg Tablet 30'S,Hypothyroidism,tablets are used to replace the thyroxine that your thyroid gland cannot produce and prevent the symptoms of hypothyroidism,Cadila Healthcare Ltd.,CADILAHC,CA
THYROUP 50mcg Tablet 120'sTHYROUP 25mcg Tablet 120'sThyroup 120 Mcg Tablet 100'STHYROUP 12.5mcg Tablet 120'sThyroup 175 Mcg Tablet 100'STHYROUP 75mcg Tablet 120'sTHYROUP 100mcg Tablet 120'sThyroup 200 Mcg Tablet 100'S,Hypothyroidism,"hyroid gland which controls how much energy your body uses. When the thyroid gland does not produce enough thyroxine (a condition known as hypothyroidism), many of the body’s functions slow down",Abbott India Ltd.,ABBOTINDIA,ABB
Thyroup 50mcg Tablet 100'STHYROUP 88mcg Tablet 100'SThyroup 12.5Mcg Tablet 50'SThyroup 25Mcg Tablet 100'SThyroup 75Mcg Tablet 100'SThyroup 100mcg Tablet 100'SThyroup 125Mcg Tablet 100'S,Hypothyroidism,tablets are used to replace the thyroxine that your thyroid gland cannot produce and prevent the symptoms of hypothyroidism,Alkem Laboratories Ltd.,ALKEM,AL
Thyroweek 25mg Tablet 4'SThyroweek 50mg Tablet 4'SThyroweek 100mg Tablet 4'S,Hypothyroidism,"hyroid gland which controls how much energy your body uses. When the thyroid gland does not produce enough thyroxine (a condition known as hypothyroidism), many of the body’s functions slow down",Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Thyrowin 50mg Tablet 14'SThyrowin 100mcg Tablet 100'SThyrowin 50mcg Tablet 100'S,Hypothyroidism,tablets are used to replace the thyroxine that your thyroid gland cannot produce and prevent the symptoms of hypothyroidism,Ipca Laboratories Ltd.,IPCALAB,I
Thyrox 150mcg Tablet 100'SThyrox 12.5Mcg Tablet 100'SThyrox 75Mcg Tablet 100'SThyrox 25Mcg Tablet 100'SThyrox 88Mcg Tablet 100'SThyrox 50mcg Tablet 100'SThyrox 125Mcg Tablet 100'SThyrox 200mcg Tablet 100'S,Hypothyroidism,"hyroid gland which controls how much energy your body uses. When the thyroid gland does not produce enough thyroxine (a condition known as hypothyroidism), many of the body’s functions slow down",Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Thyrox 100mcg Tablet 100'SThyrox 62.5Mcg Tablet 100's,Hypothyroidism,tablets are used to replace the thyroxine that your thyroid gland cannot produce and prevent the symptoms of hypothyroidism,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Thyroxium 50Mcg Tablet 100's,Hypothyroidism,"hyroid gland which controls how much energy your body uses. When the thyroid gland does not produce enough thyroxine (a condition known as hypothyroidism), many of the body’s functions slow down",JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Uthyrox 75Mcg Tablet 100'SUthyrox 100mcg Tablet 100'SUthyrox 50mcg Tablet 100'SUthyrox 12.5Mcg Tablet 50'SUTHYROX 25mcg Tablet 100'S,Hypothyroidism,tablets are used to replace the thyroxine that your thyroid gland cannot produce and prevent the symptoms of hypothyroidism,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
2CV 500/125mg Tablet 10'S,Infection,transmitted infections (gonorrhoea and syphilis),Dr. Reddys Laboratories Ltd.,DRREDDY,R
2Some Tablet 10'S,Infection,infection  of the chest in adults with chronic bronchitis,Divis Laboratories Ltd.,DIVISLAB,D
3 Cef 500mg Tablet 10'S3 Cef 250mg Tablet 10'S,Infection,infection during surgery,Cipla Ltd.,CIPLA,C
3 Cef Novo 1000/500mg Injection 1'S3 Cef Novo 500/250mg Injection 1'S3 Cef Novo 250/125mg Injection 1'S,Infection,urinary tract and kidneys,Biocon Ltd.,BIOCON,B
3 Mix Cream 7.5gm,Infection,transmitted infections (gonorrhoea and syphilis),Aurobindo Pharma Ltd.,AUROPHARMA,AU
3A 500mg Tablet 3's3A 250mg Tablet 6's,Infection,infection  of the chest in adults with chronic bronchitis,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
4Quin 400mg Tablet 10'S,Infection,infection during surgery,Lupin Ltd.,LUPIN,L
A 24 250mg Tablet 6'sA 24 500mg Tablet 5'S,Infection,urinary tract and kidneys,Cadila Healthcare Ltd.,CADILAHC,CA
A Bec 300mg Tablet 30'S,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Abbott India Ltd.,ABBOTINDIA,ABB
AB Cef 100mg Tablet 10'SAB Cef 200mg Tablet 10'S,Infection,used to treat meningitis carriers,Alkem Laboratories Ltd.,ALKEM,AL
AB CV 500/125mg Tablet 6'SAB CV 250/125mg Tablet 6'S,Infection,treats chest pain,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
AB CV Forte Dry Syrup 30ml,Infection,treats tonsilities,Ipca Laboratories Ltd.,IPCALAB,I
AB CV Kid Dry Syrup 30ml,Infection,used for skin and skin structure,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Abact 500mg Tablet 10'S,Infection,infection  of the chest in adults with chronic bronchitis,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Abcef O Dry Syrup 30mlAbcef O 200/200mg Tablet 10'S,Infection,infection during surgery,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Abclox CV 500/125mg Tablet 6'SAbclox CV Dry Syrup 30ml,Infection,urinary tract and kidneys,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
ABD Suspension 10ml,Infection,transmitted infections (gonorrhoea and syphilis),Dr. Reddys Laboratories Ltd.,DRREDDY,R
Abendol Tablet 1'S,Infection,infection  of the chest in adults with chronic bronchitis,Divis Laboratories Ltd.,DIVISLAB,D
Abendol Plus Suspension 10ml,Infection,infection during surgery,Cipla Ltd.,CIPLA,C
Abixim 100mg Tablet 10'SAbixim 200mg Tablet 10'S,Infection,urinary tract and kidneys,Biocon Ltd.,BIOCON,B
Abixim CV Tablet 10'S,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Aurobindo Pharma Ltd.,AUROPHARMA,AU
Abixim DS 50mg Syrup 30ml,Infection,used to treat meningitis carriers,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Abixim O Tablet 10'S,Infection,treats chest pain,Lupin Ltd.,LUPIN,L
Abzorb Dusting Powder 50gm,Infection,treats tonsilities,Cadila Healthcare Ltd.,CADILAHC,CA
AC 625mg Tablet 6'SAC 228.5mg Syrup 30ml,Infection,used for skin and skin structure,Abbott India Ltd.,ABBOTINDIA,ABB
AC Duo 500/125mg Tablet 10'SAC Duo DS Suspension 30ml,Infection,"treat ear, nose and throat",Alkem Laboratories Ltd.,ALKEM,AL
Acavom 100Mg Tablet 6's,Infection,treats pain associated with cataract surgery,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Accutaz AS Injection 1'S,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Ipca Laboratories Ltd.,IPCALAB,I
Accutaz HS 500/62.5mg Injection,Infection,used to treat meningitis carriers,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Accutaz PS 250/31.25mg Injection,Infection,treats chest pain,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Accuzon 500mg InjectionACCUZON 2gm Injection 1'SAccuzon 250mg InjectionAccuzon 125mg Injection 1'SAccuzon 1gm Injection,Infection,treats tonsilities,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Accuzon Plus 500/250mg Injection 1'SAccuzon Plus 375mg Injection 5mlAccuzon Plus 1.5gm Injection 1'S,Infection,used for skin and skin structure,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Acebid SP Tablet 10'S,Infection,"treat ear, nose and throat",Dr. Reddys Laboratories Ltd.,DRREDDY,R
Acflox OZ Tablet 10'S,Infection,treats pain associated with cataract surgery,Divis Laboratories Ltd.,DIVISLAB,D
ACGEL Lotion 30ml,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Cipla Ltd.,CIPLA,C
Achhazi 250Mg Tablet 6'sAchhazi 500Mg Tablet 3's,Infection,used to treat meningitis carriers,Biocon Ltd.,BIOCON,B
Achhazi Dt 100Mg Tablet 3's,Infection,treats chest pain,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Achromycin 250mg Capsule 10'S,Infection,treats tonsilities,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Acil 500mg Injection 2mlAcil 250mg Injection 2ml,Infection,used for skin and skin structure,Lupin Ltd.,LUPIN,L
Acinostop 2Gm Injection 1'SAcinostop 1gm Injection 1'S,Infection,"treat ear, nose and throat",Cadila Healthcare Ltd.,CADILAHC,CA
Aclav Dry Syrup 30ml,Infection,treats pain associated with cataract surgery,Abbott India Ltd.,ABBOTINDIA,ABB
Acneheal 1/4% Gel 20gm,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Alkem Laboratories Ltd.,ALKEM,AL
Acnelak Gel 25gm,Infection,used to treat meningitis carriers,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Acnelak Z Gel 15gm,Infection,treats chest pain,Ipca Laboratories Ltd.,IPCALAB,I
Acnesol Lotion 25ml,Infection,treats tonsilities,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Acnesol CL Lotion 30ml,Infection,used for skin and skin structure,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Acnesol NC Gel 20gm,Infection,"treat ear, nose and throat",JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Acoflox OZ Tablet 10'S,Infection,treats pain associated with cataract surgery,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Acostin 1Miu InjectionAcostin 4.5Miu InjectionAcostin 3Miu Injection,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Dr. Reddys Laboratories Ltd.,DRREDDY,R
Acostin Forte 2Miu Injection,Infection,used to treat meningitis carriers,Divis Laboratories Ltd.,DIVISLAB,D
Actacrez 2.25Gm Injection 1's,Infection,treats chest pain,Cipla Ltd.,CIPLA,C
Actamase 1000/125mg Injection 1'S,Infection,treats tonsilities,Biocon Ltd.,BIOCON,B
Actamase Forte Injection 1'S,Infection,used for skin and skin structure,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Actclav 652mg Tablet 10'S,Infection,"treat ear, nose and throat",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Acuclav 375mg Tablet 6'SAcuclav 625mg Tablet 10'SAcuclav Kid Tablet 10'SAcuclav Dry Syrup 30mlAcuclav 375mg Tablet 10'SAcuclav 500/125mg Tablet 6'SAcuclav 1.2Gm InjectionAcuclav 250/50mg Injection 1'SAcuclav 625mg Tablet 6'SAcuclav 1gm Tablet 6'SAcuclav 125/25mg Injection 1'S,Infection,treats pain associated with cataract surgery,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Acuclav DS Dry Syrup 30ml,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Dr. Reddys Laboratories Ltd.,DRREDDY,R
Acuclav LB Dry Syrup 30ml,Infection,used to treat meningitis carriers,Divis Laboratories Ltd.,DIVISLAB,D
Acudrox 250mg Suspension 30mlAcudrox 500mg Tablet 10'SAcudrox 125mg Suspension 30ml,Infection,treats chest pain,Cipla Ltd.,CIPLA,C
Acudrox DT 125mg Tablet 10'SAcudrox DT 250mg Tablet 10'S,Infection,treats tonsilities,Biocon Ltd.,BIOCON,B
Acufix Suspension 30mlAcufix 200mg Tablet 10'S,Infection,used for skin and skin structure,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Acufix DT 100mg Tablet 10'SAcufix DT 50mg Tablet 10'S,Infection,"treat ear, nose and throat",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Acupenem 500mg Injection 1'SAcupenem 1gm Injection 1'S,Infection,treats pain associated with cataract surgery,Lupin Ltd.,LUPIN,L
Acupip 4.5gm Injection 1'S,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Cadila Healthcare Ltd.,CADILAHC,CA
Adcef DT 125mg Tablet 10'SAdcef 300mg Capsule 10'SAdcef Instause Syrup 30ml,Infection,used to treat meningitis carriers,Abbott India Ltd.,ABBOTINDIA,ABB
Adcef LB 300/60mg Tablet 10'SAdcef LB 150/45mg Tablet 10'S,Infection,treats chest pain,Alkem Laboratories Ltd.,ALKEM,AL
Addbactam 1Gm Injection 1'sAddbactam 2Gm Injection 1's,Infection,treats tonsilities,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Adflox Oz Tablet 10's,Infection,infection  of the chest in adults with chronic bronchitis,Ipca Laboratories Ltd.,IPCALAB,I
Adiflox Ointment 3.5gmAdiflox Drops 10ml,Infection,infection during surgery,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Advent 150mg Injection 1'SAdvent DT 228.5mg Tablet 10'SAdvent 228.5mg Syrup 60mlAdvent Forte Syrup 30mlAdvent DT 457mg Tablet 6'SAdvent 625mg Tablet 10'SAdvent 500/125mg Tablet 6'SAdvent Drops 10mlAdvent 1.2Gm InjectionAdvent 625mg Tablet 6'SAdvent 228.5mg Syrup 30mlAdvent 300mg InjectionAdvent 1gm Tablet 4'SAdvent 600mg Injection,Infection,urinary tract and kidneys,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Aequimentin 228.5Mg Oral Suspension 30mlAequimentin 1.2Gm Injection 1'sAequimentin 625Mg Tablet 6's,Infection,transmitted infections (gonorrhoea and syphilis),JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Aequimox 250Mg Capsule 10'sAequimox 500Mg Capsule 10's,Infection,infection  of the chest in adults with chronic bronchitis,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Aequimycin 250Mg Tablet 6'sAequimycin 500Mg Tablet 3's,Infection,infection during surgery,Dr. Reddys Laboratories Ltd.,DRREDDY,R
AF O2 Tablet 10's,Infection,urinary tract and kidneys,Divis Laboratories Ltd.,DIVISLAB,D
Afdclav 625mg Tablet 10'S,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Cipla Ltd.,CIPLA,C
Afdiclave Dry Syrup 30ml,Infection,used to treat meningitis carriers,Biocon Ltd.,BIOCON,B
Afdiflam D Tablet 10'S,Infection,treats chest pain,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Afdilinz 600mg Tablet 4'S,Infection,treats tonsilities,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Afdimoxin 250Mg Capsule 10'sAfdimoxin Dry Syrup 30ml,Infection,used for skin and skin structure,Lupin Ltd.,LUPIN,L
Afdimoxin Dt Tablet 10's,Infection,infection  of the chest in adults with chronic bronchitis,Cadila Healthcare Ltd.,CADILAHC,CA
Afdixim Dt 200Mg Tablet 10's,Infection,infection during surgery,Abbott India Ltd.,ABBOTINDIA,ABB
Afdiz 250mg Tablet 6'SAfdiz 500mg Tablet 3'S,Infection,urinary tract and kidneys,Alkem Laboratories Ltd.,ALKEM,AL
Afdoz O Tablet 10'S,Infection,transmitted infections (gonorrhoea and syphilis),Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Aflox OZ Tablet 10'S,Infection,infection  of the chest in adults with chronic bronchitis,Ipca Laboratories Ltd.,IPCALAB,I
Agidap 350mg Injection 1'S,Infection,infection during surgery,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Agiflo OZ Tablet 10'S,Infection,urinary tract and kidneys,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Agroflox OZ Tablet 10'S,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Aiomox Syrup 30ml,Infection,used to treat meningitis carriers,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Akello Dry Syrup 30mlAkello 625Mg Tablet 10's,Infection,treats chest pain,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Akucef Tablet 10'S,Infection,treats tonsilities,Divis Laboratories Ltd.,DIVISLAB,D
Akuvitis Eye Drops 5ml,Infection,infection  of the chest in adults with chronic bronchitis,Cipla Ltd.,CIPLA,C
Albenum 400mg Tablet 100'SAlbenum 400mg Syrup 10ml,Infection,infection during surgery,Biocon Ltd.,BIOCON,B
Albid 200mg Syrup 10mlAlbid 400mg Tablet 1'S,Infection,urinary tract and kidneys,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Alcef O 200mg Tablet 10'SAlcef O 50mg Syrup 30ml,Infection,transmitted infections (gonorrhoea and syphilis),Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Alcef O DT 100mg Tablet 10'S,Infection,infection  of the chest in adults with chronic bronchitis,Lupin Ltd.,LUPIN,L
Alceff 250mg Capsule 10'SAlceff 500mg Capsule 10'S,Infection,infection during surgery,Cadila Healthcare Ltd.,CADILAHC,CA
Alcephin 125mg Tablet 10'SAlcephin 250mg Capsule 10'S,Infection,urinary tract and kidneys,Abbott India Ltd.,ABBOTINDIA,ABB
Alcephin PX 500mg Capsule 10'SAlcephin PX 125mg Tablet 10'SAlcephin PX 250mg Capsule 10'SAlcephin PX 125mg Dry Syrup 30ml,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Alkem Laboratories Ltd.,ALKEM,AL
Alcephin PX DT 250mg Tablet 10'S,Infection,used to treat meningitis carriers,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Alciflox 500mg Tablet 10'SAlciflox 250mg Tablet 10'S,Infection,treats chest pain,Ipca Laboratories Ltd.,IPCALAB,I
Alciflox D Eye Drops 10ml,Infection,treats tonsilities,Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Alcipro 250mg Tablet 10'SAlcipro 500mg Tablet 10'SAlcipro 750mg Tablet 10'SAlcipro 200mg Infusion 100ml,Infection,used for skin and skin structure,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Alcipro TN Tablet 10'S,Infection,infection  of the chest in adults with chronic bronchitis,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Alcizon 500mg Injection 1'SAlcizon 1000mg Injection 1'SAlcizon 250mg Injection 1'S,Infection,infection during surgery,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Alcyclin 500mg Capsule 10'SAlcyclin 250mg Capsule 10'S,Infection,urinary tract and kidneys,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Aldezol 200mg Tablet 10'SAldezol 400mg Tablet 10'S,Infection,transmitted infections (gonorrhoea and syphilis),Divis Laboratories Ltd.,DIVISLAB,D
Aldinir Syrup 30mlAldinir 300mg Capsule 4'S,Infection,infection  of the chest in adults with chronic bronchitis,Cipla Ltd.,CIPLA,C
Alefox OZ Tablet 10'S,Infection,infection during surgery,Biocon Ltd.,BIOCON,B
Alem O Tablet 10'S,Infection,urinary tract and kidneys,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Alem2O Tablet 10'S,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Alemetro 500mg Infusion 100ml,Infection,used to treat meningitis carriers,Lupin Ltd.,LUPIN,L
Alerta 1Gm Injection 1's,Infection,treats chest pain,Cadila Healthcare Ltd.,CADILAHC,CA
Alevo 250mg Tablet 10'SAlevo 750mg Tablet 10'SAlevo 500mg Tablet 10'S,Infection,treats tonsilities,Abbott India Ltd.,ABBOTINDIA,ABB
Alexin 500mg Capsule 10'SAlexin 250mg Tablet 10'SAlexin 250mg Capsule 10'SAlexin 250mg Syrup 30ml,Infection,infection  of the chest in adults with chronic bronchitis,Alkem Laboratories Ltd.,ALKEM,AL
Alexin DT 250mg Tablet 10'S,Infection,infection during surgery,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,G
Alfakim 500mg Injection 2mlAlfakim 250mg Injection 2mlAlfakim 100mg Injection 2mlAlfakim 100mg Injection 10ml,Infection,urinary tract and kidneys,Ipca Laboratories Ltd.,IPCALAB,I
Alflox 200mg Tablet 10'SAlflox 400mg Tablet 10'SAlflox 400mg Drops 5ml,Infection,transmitted infections (gonorrhoea and syphilis),Alembic Pharmaceuticals Ltd.,ALEMBIC,ALEM
Alflox TZ Tablet 10'S,Infection,infection  of the chest in adults with chronic bronchitis,Glenmark Pharmaceuticals Ltd.,GLENMARK,GL
Algat 200mg Tablet 5'SAlgat 400mg Tablet 5'S,Infection,infection during surgery,JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JB
Algat O Tablet 10'S,Infection,urinary tract and kidneys,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Aliclair 250mg Tablet 4'S,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Dr. Reddys Laboratories Ltd.,DRREDDY,R
Alinfec 250mg Injection 2mlALINFEC 100mg Injection 2mlAlinfec 500mg Injection 2ml,Infection,used to treat meningitis carriers,Divis Laboratories Ltd.,DIVISLAB,D
Alkem Amoxicillin 250mg Capsule 100'S,Infection,treats chest pain,Cipla Ltd.,CIPLA,C
Allcillin 1000mg Injection 1'S,Infection,treats tonsilities,Biocon Ltd.,BIOCON,B
Allmycin Syrup 30ml,Infection,used for skin and skin structure,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Allsafe 500mg Tablet 10'SAllsafe 250mg Tablet 10'S,Infection,infection  of the chest in adults with chronic bronchitis,Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Alminth Plus Tablet 10'S,Infection,infection during surgery,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,S
Almox 100mg Drops 10mlAlmox 250mg Capsule 10'SAlmox 500mg Capsule 10'SAlmox 250mg Injection 1ml,Infection,urinary tract and kidneys,Dr. Reddys Laboratories Ltd.,DRREDDY,R
Almox C 250/250mg Capsule 10'SAlmox C 125/125mg Tablet 10'S,Infection,transmitted infections (gonorrhoea and syphilis),Divis Laboratories Ltd.,DIVISLAB,D
Almox DT 125mg Tablet 10'SAlmox DT 250mg Tablet 10'S,Infection,infection  of the chest in adults with chronic bronchitis,Cipla Ltd.,CIPLA,C
Almox Paed Drops 10ml,Infection,infection during surgery,Biocon Ltd.,BIOCON,B
Almox Plus Capsule 10'S,Infection,urinary tract and kidneys,Aurobindo Pharma Ltd.,AUROPHARMA,AU
Alof OZ Tablet 10'S,Infection," used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",Torrent Pharmaceuticals Ltd.,TORNTPHARM,T
Alox Suspension 60mlAlox 200Mg Tablet 10's,Infection,used to treat meningitis carriers,Lupin Ltd.,LUPIN,L
Alpenam 1000mg Injection 1'SAlpenam 500mg Injection 1'S,Infection,treats chest pain,Cadila Healthcare Ltd.,CADILAHC,CA
